rule_id	prefix	num	page	stmt_chars	viol_chars	inset_chars	stmt_sha1	headline
R31	R	31	81	123	0	0	379111947000	Corner joints between BUMPERS must be filled with pool noodle material
R32	R	32	81	502	0	0	465ad32e3a31	BUMPERS must be supported by the structure/frame of the ROBOT (see Figure 8-8)
R33	R	33	83	2149	0	0	bddeed01fddd	The only motors and actuators permitted on 2018 ROBOTS include the following (in any quantity): Motor Name Part Numbers 
R34	R	34	84	1439	0	0	629a8dcde8ca	The integral mechanical and electrical system of any motor must not be modified
R35	R	35	84	1141	0	0	740f93e67c70	With the exception of servos, fans, or motors integral to sensors of COTS computing devices permitted in R33, each actua
R36	R	36	85	1076	0	0	44e24b12dd3c	Each power regulating device may control electrical loads per Table 8-2
R37	R	37	85	217	0	0	4d0017911f36	Servos must be connected to, and only to, one of the following: A
R38	R	38	86	1274	0	0	a42387b0951a	The only legal source of electrical energy for the ROBOT during the competition, the ROBOT battery, must be a non-spilla
R39	R	39	86	526	0	0	d935bd621282	COTS USB battery packs with a capacity of 100Wh or less (20000mAh at 5V) and 2
R40	R	40	87	111	0	0	078e964b097b	Any battery charger used to charge a ROBOT battery must have the corresponding Anderson SB connector installed
R41	R	41	87	115	0	0	a8fae3b35909	Any battery charger used to charge a ROBOT battery may not be used such that it exceeds 6- Amp peak charge current
R42	R	42	87	227	0	0	ee9619f7e100	No batteries other than those allowed per R38 and R39 are allowed on the ROBOT, whether or not they are being used to su
R43	R	43	87	176	0	0	b2418bd27f9f	The ROBOT battery must be secured such that it will not dislodge during vigorous ROBOT interaction including if the ROBO
R44	R	44	87	165	0	0	1e76eccedc3d	Each electrical terminal on the ROBOT battery, main breaker, and their connections (lugs, stripped wire ends, etc
R45	R	45	87	431	0	0	5b206924ff34	Non-electrical sources of energy used by the ROBOT, (i
R46	R	46	87	797	0	0	6b3c9c3996f3	The one (1) ROBOT battery, a single pair of Anderson Power Products (or APP) 2-pole SB type connectors, the one (1) main
R47	R	47	88	291	0	0	dbcd3a0f356c	All circuits, with the exceptions of those listed in R52 and R54, must connect to, and have power sourced solely by, a s
R48	R	48	88	727	0	0	5a4bb582e6f7	All wiring and electrical devices, including all Control System COMPONENTS, shall be electrically isolated from the ROBO
R49	R	49	88	491	0	0	db3039c0d00c	The 120A circuit breaker must be quickly and safely accessible from the exterior of the ROBOT
R50	R	50	89	91	0	0	b5639c29ba8f	The PDP, associated wiring, and all circuit breakers must be easily visible for Inspection
R51	R	51	89	206	0	0	7df08726e36b	Any active electrical item that is not an actuator (specified in R33) or core Control System item (specified in R72) is 
R52	R	52	89	172	0	0	33183ef7cdfa	The roboRIO power input must be connected to the dedicated supply terminals on the PDP shown in Figure 8-10
R53	R	53	89	718	0	0	201365d6c211	The Wireless Bridge (Radio) power must be supplied directly by the 12V 2A output of a CTR Electronics Voltage Regulator 
R54	R	54	89	464	0	0	2fbde9395f89	The VRM supplying power to the Wireless Bridge per R53 must be connected to the designated supply terminals at the end o
R55	R	55	90	431	0	0	d8fedf13bbf5	Only one wire shall be connected to each WAGO connector on the PDP
R56	R	56	90	165	0	0	97f6cf426c22	The only circuit breakers permitted for use in the PDP are: A
R57	R	57	90	153	0	0	b1eab2eee1a0	The fuses in the PDP shall only be replaced with functionally identical fuses (mini automotive blade fuses with values m
R58	R	58	90	663	0	0	13ea7f2dcf8f	Each branch circuit must be protected by one and only one circuit breaker on the PDP per Table 8-3
R59	R	59	91	1018	0	0	21c86c3b0f17	All circuits shall be wired with appropriately sized insulated copper wire (SIGNAL LEVEL cables don’t have to be copper)
R60	R	60	91	229	0	0	e949ddb1d283	Branch circuits may include intermediate elements such as COTS connectors, splices, COTS flexible/rolling/sliding contac
R61	R	61	91	605	0	0	4da81b1e94bc	All non-SIGNAL LEVEL wiring with a constant polarity (i
R62	R	62	91	1031	0	0	d886cb8e2d82	CUSTOM CIRCUITS shall not directly alter the power pathways between the ROBOT battery, PDP, motor controllers, relays (p
