year,event,week,team,n_matches,resid_mean,resid_sd,resid_min
2026,2026okok,Week 1,2352,10,-0.0,27.364,-45.963
2026,2026okok,Week 1,10661,10,-0.0,32.691,-48.15
2026,2026okok,Week 1,4005,10,0.0,33.978,-56.324
2026,2026okok,Week 1,2457,10,-0.0,40.028,-48.15
2026,2026okok,Week 1,5968,10,-0.0,24.933,-54.796
2026,2026okok,Week 1,10377,10,-0.0,25.682,-37.686
2026,2026okok,Week 1,4635,10,-0.0,36.934,-73.946
2026,2026okok,Week 1,4206,10,-0.0,27.725,-47.826
2026,2026bcvi,Week 1,10951,10,-0.0,24.796,-49.865
2026,2026bcvi,Week 1,9180,10,-0.0,21.838,-34.533
2026,2026bcvi,Week 1,6364,10,-0.0,26.595,-39.498
2026,2026bcvi,Week 1,7334,11,-0.0,20.803,-37.398
2026,2026bcvi,Week 1,6766,10,-0.0,25.721,-52.583
2026,2026bcvi,Week 1,9277,10,-0.0,16.41,-19.23
2026,2026bcvi,Week 1,10120,10,-0.0,24.027,-29.147
2026,2026bcvi,Week 1,7135,10,-0.0,20.161,-29.147
2026,2026bcvi,Week 1,4627,10,-0.0,26.397,-49.865
2026,2026bcvi,Week 1,7688,10,-0.0,30.71,-61.322
2026,2026bcvi,Week 1,3990,10,0.0,30.032,-61.322
2026,2026bcvi,Week 1,2013,10,-0.0,29.7,-61.322
2026,2026bcvi,Week 1,10527,10,-0.0,27.518,-36.433
2026,2026bcvi,Week 1,8339,10,-0.0,25.805,-37.398
2026,2026bcvi,Week 1,11302,10,-0.0,23.319,-26.613
2026,2026bcvi,Week 1,7796,11,-0.0,23.824,-46.287
2026,2026bcvi,Week 1,9406,10,-0.0,28.257,-46.287
2026,2026bcvi,Week 1,3683,10,-0.0,30.604,-46.287
2026,2026bcvi,Week 1,7190,10,-0.0,25.893,-36.433
2026,2026bcvi,Week 1,9449,10,-0.0,35.2,-62.239
2026,2026bcvi,Week 1,8790,10,-0.0,25.225,-30.755
2026,2026bcvi,Week 1,5461,10,0.0,30.347,-51.189
2026,2026bcvi,Week 1,4270,10,-0.0,32.358,-51.795
2026,2026bcvi,Week 1,8331,11,-0.0,28.451,-51.189
2026,2026bcvi,Week 1,359,11,-0.0,35.771,-77.007
2026,2026bcvi,Week 1,610,10,-0.0,33.747,-77.007
2026,2026bcvi,Week 1,10384,10,-0.0,32.37,-77.007
2026,2026bcvi,Week 1,7332,10,-0.0,16.903,-19.221
2026,2026bcvi,Week 1,11149,10,-0.0,34.805,-60.929
2026,2026bcvi,Week 1,9649,10,-0.0,27.274,-45.205
2026,2026bcvi,Week 1,8338,10,-0.0,32.599,-49.865
2026,2026bcvi,Week 1,11410,10,0.0,23.57,-51.795
2026,2026bcvi,Week 1,9474,10,-0.0,25.567,-62.239
2026,2026bcvi,Week 1,6188,10,-0.0,20.426,-30.755
2026,2026bcvi,Week 1,11391,10,-0.0,14.147,-19.221
2026,2026bcvi,Week 1,7287,10,-0.0,29.892,-62.239
2026,2026bcvi,Week 1,9550,10,0.0,9.556,-19.074
2026,2026bcvi,Week 1,9465,10,-0.0,21.714,-27.47
2026,2026bcvi,Week 1,6390,10,-0.0,19.541,-17.125
2026,2026bcvi,Week 1,9719,10,-0.0,26.32,-52.583
2026,2026bcvi,Week 1,10427,10,-0.0,22.976,-60.929
2026,2026bcvi,Week 1,11354,10,-0.0,16.509,-22.456
2026,2026bcvi,Week 1,4421,10,0.0,30.362,-60.929
2026,2026bcvi,Week 1,4862,10,-0.0,17.265,-28.19
2026,2026gadal,Week 1,5900,12,-0.0,29.852,-47.383
2026,2026gadal,Week 1,8761,12,0.0,25.841,-42.433
2026,2026gadal,Week 1,1746,12,0.0,23.192,-35.51
2026,2026gadal,Week 1,1002,12,-0.0,54.669,-113.25
2026,2026gadal,Week 1,8866,12,0.0,46.7,-113.25
2026,2026gadal,Week 1,7676,12,0.0,41.03,-113.25
2026,2026gadal,Week 1,5608,12,0.0,29.354,-48.622
