year,event,week,col_index,col_name,rank,team,value
2023,2023bcvi,Week 1,4,Avg Charge Station,3,4253,26.50
2023,2023bcvi,Week 1,5,Avg Auto,3,4253,26.75
2023,2023bcvi,Week 1,6,Record (W-L-T),3,4253,10-2-0
2023,2023bcvi,Week 1,7,DQ,3,4253,0
2023,2023bcvi,Week 1,8,Played,3,4253,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,3,4253,29
2023,2023bcvi,Week 1,2,Ranking Score,4,4421,2.08
2023,2023bcvi,Week 1,3,Avg Match,4,4421,76.91
2023,2023bcvi,Week 1,4,Avg Charge Station,4,4421,27.50
2023,2023bcvi,Week 1,5,Avg Auto,4,4421,24.33
2023,2023bcvi,Week 1,6,Record (W-L-T),4,4421,8-4-0
2023,2023bcvi,Week 1,7,DQ,4,4421,0
2023,2023bcvi,Week 1,8,Played,4,4421,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,4,4421,25
2023,2023bcvi,Week 1,2,Ranking Score,5,9180,2.08
2023,2023bcvi,Week 1,3,Avg Match,5,9180,65.00
2023,2023bcvi,Week 1,4,Avg Charge Station,5,9180,23.83
2023,2023bcvi,Week 1,5,Avg Auto,5,9180,16.33
2023,2023bcvi,Week 1,6,Record (W-L-T),5,9180,9-3-0
2023,2023bcvi,Week 1,7,DQ,5,9180,0
2023,2023bcvi,Week 1,8,Played,5,9180,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,5,9180,25
2023,2023bcvi,Week 1,2,Ranking Score,6,7287,1.91
2023,2023bcvi,Week 1,3,Avg Match,6,7287,73.00
2023,2023bcvi,Week 1,4,Avg Charge Station,6,7287,24.83
2023,2023bcvi,Week 1,5,Avg Auto,6,7287,26.00
2023,2023bcvi,Week 1,6,Record (W-L-T),6,7287,8-4-0
2023,2023bcvi,Week 1,7,DQ,6,7287,0
2023,2023bcvi,Week 1,8,Played,6,7287,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,6,7287,23
2023,2023bcvi,Week 1,2,Ranking Score,7,8871,1.75
2023,2023bcvi,Week 1,3,Avg Match,7,8871,63.25
2023,2023bcvi,Week 1,4,Avg Charge Station,7,8871,24.66
2023,2023bcvi,Week 1,5,Avg Auto,7,8871,19.50
2023,2023bcvi,Week 1,6,Record (W-L-T),7,8871,7-5-0
2023,2023bcvi,Week 1,7,DQ,7,8871,0
2023,2023bcvi,Week 1,8,Played,7,8871,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,7,8871,21
2023,2023bcvi,Week 1,2,Ranking Score,8,4627,1.75
2023,2023bcvi,Week 1,3,Avg Match,8,4627,62.16
2023,2023bcvi,Week 1,4,Avg Charge Station,8,4627,25.00
2023,2023bcvi,Week 1,5,Avg Auto,8,4627,24.00
2023,2023bcvi,Week 1,6,Record (W-L-T),8,4627,6-5-1
2023,2023bcvi,Week 1,7,DQ,8,4627,0
2023,2023bcvi,Week 1,8,Played,8,4627,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,8,4627,21
2023,2023bcvi,Week 1,2,Ranking Score,9,1868,1.66
2023,2023bcvi,Week 1,3,Avg Match,9,1868,74.41
2023,2023bcvi,Week 1,4,Avg Charge Station,9,1868,22.16
2023,2023bcvi,Week 1,5,Avg Auto,9,1868,23.08
2023,2023bcvi,Week 1,6,Record (W-L-T),9,1868,7-5-0
2023,2023bcvi,Week 1,7,DQ,9,1868,0
2023,2023bcvi,Week 1,8,Played,9,1868,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,9,1868,20
2023,2023bcvi,Week 1,2,Ranking Score,10,5419,1.66
2023,2023bcvi,Week 1,3,Avg Match,10,5419,63.50
2023,2023bcvi,Week 1,4,Avg Charge Station,10,5419,24.50
2023,2023bcvi,Week 1,5,Avg Auto,10,5419,20.83
2023,2023bcvi,Week 1,6,Record (W-L-T),10,5419,7-5-0
2023,2023bcvi,Week 1,7,DQ,10,5419,0
2023,2023bcvi,Week 1,8,Played,10,5419,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,10,5419,20
2023,2023bcvi,Week 1,2,Ranking Score,11,5997,1.66
2023,2023bcvi,Week 1,3,Avg Match,11,5997,57.41
2023,2023bcvi,Week 1,4,Avg Charge Station,11,5997,20.00
2023,2023bcvi,Week 1,5,Avg Auto,11,5997,16.50
2023,2023bcvi,Week 1,6,Record (W-L-T),11,5997,7-5-0
2023,2023bcvi,Week 1,7,DQ,11,5997,0
2023,2023bcvi,Week 1,8,Played,11,5997,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,11,5997,20
2023,2023bcvi,Week 1,2,Ranking Score,12,8331,1.66
2023,2023bcvi,Week 1,3,Avg Match,12,8331,56.08
2023,2023bcvi,Week 1,4,Avg Charge Station,12,8331,20.33
2023,2023bcvi,Week 1,5,Avg Auto,12,8331,18.50
2023,2023bcvi,Week 1,6,Record (W-L-T),12,8331,7-5-0
2023,2023bcvi,Week 1,7,DQ,12,8331,0
2023,2023bcvi,Week 1,8,Played,12,8331,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,12,8331,20
2023,2023bcvi,Week 1,2,Ranking Score,13,6390,1.58
2023,2023bcvi,Week 1,3,Avg Match,13,6390,68.16
2023,2023bcvi,Week 1,4,Avg Charge Station,13,6390,25.16
2023,2023bcvi,Week 1,5,Avg Auto,13,6390,21.25
2023,2023bcvi,Week 1,6,Record (W-L-T),13,6390,6-6-0
2023,2023bcvi,Week 1,7,DQ,13,6390,0
2023,2023bcvi,Week 1,8,Played,13,6390,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,13,6390,19
2023,2023bcvi,Week 1,2,Ranking Score,14,6351,1.58
2023,2023bcvi,Week 1,3,Avg Match,14,6351,54.25
2023,2023bcvi,Week 1,4,Avg Charge Station,14,6351,16.83
2023,2023bcvi,Week 1,5,Avg Auto,14,6351,15.08
2023,2023bcvi,Week 1,6,Record (W-L-T),14,6351,8-4-0
2023,2023bcvi,Week 1,7,DQ,14,6351,0
2023,2023bcvi,Week 1,8,Played,14,6351,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,14,6351,19
2023,2023bcvi,Week 1,2,Ranking Score,15,7167,1.58
2023,2023bcvi,Week 1,3,Avg Match,15,7167,51.58
2023,2023bcvi,Week 1,4,Avg Charge Station,15,7167,21.16
2023,2023bcvi,Week 1,5,Avg Auto,15,7167,12.33
2023,2023bcvi,Week 1,6,Record (W-L-T),15,7167,7-5-0
2023,2023bcvi,Week 1,7,DQ,15,7167,0
2023,2023bcvi,Week 1,8,Played,15,7167,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,15,7167,19
2023,2023bcvi,Week 1,2,Ranking Score,16,7190,1.41
2023,2023bcvi,Week 1,3,Avg Match,16,7190,53.08
2023,2023bcvi,Week 1,4,Avg Charge Station,16,7190,21.66
2023,2023bcvi,Week 1,5,Avg Auto,16,7190,15.00
2023,2023bcvi,Week 1,6,Record (W-L-T),16,7190,6-6-0
2023,2023bcvi,Week 1,7,DQ,16,7190,0
2023,2023bcvi,Week 1,8,Played,16,7190,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,16,7190,17
2023,2023bcvi,Week 1,2,Ranking Score,17,6364,1.33
2023,2023bcvi,Week 1,3,Avg Match,17,6364,57.75
2023,2023bcvi,Week 1,4,Avg Charge Station,17,6364,23.33
2023,2023bcvi,Week 1,5,Avg Auto,17,6364,15.25
2023,2023bcvi,Week 1,6,Record (W-L-T),17,6364,5-7-0
2023,2023bcvi,Week 1,7,DQ,17,6364,0
2023,2023bcvi,Week 1,8,Played,17,6364,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,17,6364,16
2023,2023bcvi,Week 1,2,Ranking Score,18,7796,1.33
2023,2023bcvi,Week 1,3,Avg Match,18,7796,52.83
2023,2023bcvi,Week 1,4,Avg Charge Station,18,7796,20.16
2023,2023bcvi,Week 1,5,Avg Auto,18,7796,15.50
2023,2023bcvi,Week 1,6,Record (W-L-T),18,7796,5-6-1
2023,2023bcvi,Week 1,7,DQ,18,7796,0
2023,2023bcvi,Week 1,8,Played,18,7796,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,18,7796,16
2023,2023bcvi,Week 1,2,Ranking Score,19,8339,1.25
2023,2023bcvi,Week 1,3,Avg Match,19,8339,64.58
2023,2023bcvi,Week 1,4,Avg Charge Station,19,8339,20.66
2023,2023bcvi,Week 1,5,Avg Auto,19,8339,22.58
2023,2023bcvi,Week 1,6,Record (W-L-T),19,8339,5-6-1
2023,2023bcvi,Week 1,7,DQ,19,8339,0
2023,2023bcvi,Week 1,8,Played,19,8339,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,19,8339,15
2023,2023bcvi,Week 1,2,Ranking Score,20,244,1.25
2023,2023bcvi,Week 1,3,Avg Match,20,244,58.16
2023,2023bcvi,Week 1,4,Avg Charge Station,20,244,21.00
2023,2023bcvi,Week 1,5,Avg Auto,20,244,15.50
2023,2023bcvi,Week 1,6,Record (W-L-T),20,244,5-7-0
2023,2023bcvi,Week 1,7,DQ,20,244,0
2023,2023bcvi,Week 1,8,Played,20,244,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,20,244,15
2023,2023bcvi,Week 1,2,Ranking Score,21,7688,1.25
2023,2023bcvi,Week 1,3,Avg Match,21,7688,56.66
2023,2023bcvi,Week 1,4,Avg Charge Station,21,7688,19.16
2023,2023bcvi,Week 1,5,Avg Auto,21,7688,21.08
2023,2023bcvi,Week 1,6,Record (W-L-T),21,7688,6-6-0
2023,2023bcvi,Week 1,7,DQ,21,7688,0
2023,2023bcvi,Week 1,8,Played,21,7688,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,21,7688,15
2023,2023bcvi,Week 1,2,Ranking Score,22,9292,1.25
2023,2023bcvi,Week 1,3,Avg Match,22,9292,56.08
2023,2023bcvi,Week 1,4,Avg Charge Station,22,9292,20.00
2023,2023bcvi,Week 1,5,Avg Auto,22,9292,15.16
2023,2023bcvi,Week 1,6,Record (W-L-T),22,9292,5-7-0
2023,2023bcvi,Week 1,7,DQ,22,9292,0
2023,2023bcvi,Week 1,8,Played,22,9292,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,22,9292,15
2023,2023bcvi,Week 1,2,Ranking Score,23,7787,1.25
2023,2023bcvi,Week 1,3,Avg Match,23,7787,48.75
2023,2023bcvi,Week 1,4,Avg Charge Station,23,7787,18.66
2023,2023bcvi,Week 1,5,Avg Auto,23,7787,11.91
2023,2023bcvi,Week 1,6,Record (W-L-T),23,7787,5-6-1
2023,2023bcvi,Week 1,7,DQ,23,7787,0
2023,2023bcvi,Week 1,8,Played,23,7787,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,23,7787,15
2023,2023bcvi,Week 1,2,Ranking Score,24,9277,1.16
2023,2023bcvi,Week 1,3,Avg Match,24,9277,55.58
2023,2023bcvi,Week 1,4,Avg Charge Station,24,9277,16.33
2023,2023bcvi,Week 1,5,Avg Auto,24,9277,13.08
2023,2023bcvi,Week 1,6,Record (W-L-T),24,9277,6-6-0
2023,2023bcvi,Week 1,7,DQ,24,9277,0
2023,2023bcvi,Week 1,8,Played,24,9277,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,24,9277,14
2023,2023bcvi,Week 1,2,Ranking Score,25,7135,1.08
2023,2023bcvi,Week 1,3,Avg Match,25,7135,55.08
2023,2023bcvi,Week 1,4,Avg Charge Station,25,7135,18.16
2023,2023bcvi,Week 1,5,Avg Auto,25,7135,15.50
2023,2023bcvi,Week 1,6,Record (W-L-T),25,7135,6-6-0
2023,2023bcvi,Week 1,7,DQ,25,7135,0
2023,2023bcvi,Week 1,8,Played,25,7135,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,25,7135,13
2023,2023bcvi,Week 1,2,Ranking Score,26,3256,1.00
2023,2023bcvi,Week 1,3,Avg Match,26,3256,62.75
2023,2023bcvi,Week 1,4,Avg Charge Station,26,3256,17.66
2023,2023bcvi,Week 1,5,Avg Auto,26,3256,20.16
2023,2023bcvi,Week 1,6,Record (W-L-T),26,3256,5-7-0
2023,2023bcvi,Week 1,7,DQ,26,3256,0
2023,2023bcvi,Week 1,8,Played,26,3256,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,26,3256,12
2023,2023bcvi,Week 1,2,Ranking Score,27,8338,1.00
2023,2023bcvi,Week 1,3,Avg Match,27,8338,55.33
2023,2023bcvi,Week 1,4,Avg Charge Station,27,8338,19.66
2023,2023bcvi,Week 1,5,Avg Auto,27,8338,15.75
2023,2023bcvi,Week 1,6,Record (W-L-T),27,8338,3-8-1
2023,2023bcvi,Week 1,7,DQ,27,8338,0
2023,2023bcvi,Week 1,8,Played,27,8338,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,27,8338,12
2023,2023bcvi,Week 1,2,Ranking Score,28,9079,1.00
2023,2023bcvi,Week 1,3,Avg Match,28,9079,52.75
2023,2023bcvi,Week 1,4,Avg Charge Station,28,9079,15.33
2023,2023bcvi,Week 1,5,Avg Auto,28,9079,17.75
2023,2023bcvi,Week 1,6,Record (W-L-T),28,9079,4-8-0
2023,2023bcvi,Week 1,7,DQ,28,9079,0
2023,2023bcvi,Week 1,8,Played,28,9079,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,28,9079,12
2023,2023bcvi,Week 1,2,Ranking Score,29,7173,0.91
2023,2023bcvi,Week 1,3,Avg Match,29,7173,46.91
2023,2023bcvi,Week 1,4,Avg Charge Station,29,7173,17.00
2023,2023bcvi,Week 1,5,Avg Auto,29,7173,14.00
2023,2023bcvi,Week 1,6,Record (W-L-T),29,7173,4-8-0
2023,2023bcvi,Week 1,7,DQ,29,7173,0
